Date,modeled_snow_depth_cm
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-01,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-02,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-03,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-04,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-05,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-06,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-07,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
2021-10-08,0
